,Tempo,MFCC average,MFCC variance,Spectral centroid average,Spectral centroid variance,Spectral bandwidth average,Spectral bandwidth variance,Spectral roll-off average,Spectral roll-off variance,Spectral contrast average,Spectral contrast variance,Spectral flatness average,Spectral flatness variance,Zero crossing rate average,Zero crossing rate variance,Genre
blues1_4,-1.7613791697605845,-0.24132582718266482,0.7350238296245397,-1.0560456435263121,-0.94304364629316,-0.28556575815838053,-0.2603009330925268,-0.8429054613987028,-0.6267290909575101,0.4692462976324044,0.627390069557642,-0.7297684172182196,-0.43717874955222524,-1.4012243545037137,-0.9571488499638238,blues
blues1_5,-0.5059363352467436,-0.1208284356272543,0.7953476704981373,-0.9076915481330605,-0.8086403630829238,-0.19178333662827213,-0.2510133116077976,-0.6827859493325741,-0.39887097251639664,0.389844883897153,0.4999209172731842,-0.6962861670420453,-0.43161002419562217,-1.1611272286037655,-0.8097556488997611,blues
blues1_6,1.928085486769887,-0.0788977713445197,0.23963120708150581,-0.4942068712990462,-0.5253652503448019,0.09720216610486607,-0.10868511763296415,-0.22127746151234748,-0.16262261151534158,0.8096422468072131,0.8132852206219189,-0.6234780059213935,-0.41468849128212854,-0.7388076283637753,-0.45274811548783833,blues
blues1_7,1.538641995247226,0.041162818204538106,0.014727137576741597,-0.8330804615056245,-0.6807682860724377,-0.3271574901885797,-0.1509140267163093,-0.6147986961933856,-0.2597997536619254,0.7754386139662006,1.062437874668696,-0.6986318133554895,-0.43553675825357124,-1.0347951320558568,-0.8076166658032131,blues
blues2_0,1.1978789401648977,0.6580580531755283,-0.3059290781795593,-1.0786091928521193,-1.021033425476815,-1.0491562672177417,-1.0430242936508984,-1.1218438177361212,-1.1143071068063901,0.4162277742353565,0.4654379348405923,-0.7092945370644119,-0.4362867974014618,-0.9015180773207644,-0.8442929689500943,blues
blues2_1,1.1978789401648977,0.5244936734451962,-0.3675470223752496,-0.811290769366113,-0.8169450261825683,-0.8934732543936464,-0.890324121599754,-0.8573077455527975,-0.8950933713796135,0.7263346347606424,0.7684295966584621,-0.6757057649986637,-0.433517598286032,-0.6488538842249526,-0.6978358426237148,blues
blues2_2,1.1978789401648977,0.7330661918106192,-0.3582926063239356,-1.0015320918363402,-0.9439589737638988,-1.0583024193090775,-1.0264531165852886,-1.041572263406675,-1.0107644710208485,0.5593266585191043,0.7181246351205769,-0.6981675692758471,-0.43526438962082253,-0.8370291798682993,-0.7882504876388887,blues
blues2_3,1.1978789401648977,0.3820614663421844,-0.3449431370964249,-0.8494188193445115,-0.8981329277096398,-0.9596488974672562,-1.0033425135689256,-0.9102573196487401,-0.9924462886296683,0.8564985294267848,0.701038465191502,-0.6942599924174255,-0.43568987328212394,-0.5572465786129863,-0.64252190115255,blues
blues2_4,0.8972056562687253,0.07093064662696535,-0.0666165379668593,-0.8624272540811639,-0.7949023611713314,-0.9888596056719626,-0.9630604329078625,-0.9331315356581851,-0.877004348684606,0.9079781498285331,0.7775677475102452,-0.6713643554348022,-0.42606919264797194,-0.6961457423567602,-0.663543429941261,blues
blues2_5,1.1978789401648977,0.020033999345298828,-0.20550436298322242,-0.9736826410205622,-0.9875964555149858,-1.2679143253306153,-1.172067993022006,-1.158061326417746,-1.1589486802071067,0.8296211549300062,0.7019393382889096,-0.7175541053483526,-0.43645094720776956,-0.5684907966303414,-0.7450529660322697,blues
blues2_6,1.1978789401648977,0.5316558932987798,-0.5354764837185245,-0.7536000298516978,-0.9269030100690998,-0.7510169632334192,-0.9148977846919122,-0.91089271453789,-1.0646621781794772,0.6153648515006058,0.7360443802111922,-0.6694659006543188,-0.43555187093814207,-0.5572465786129893,-0.7344599174606752,blues
blues2_7,1.1978789401648977,0.5265961204418463,-0.5414305718719752,-0.5839046308963771,-0.792712946360976,-0.6162108017634299,-0.7548313901339918,-0.7437838586910989,-0.9226547777196493,0.9249958745765662,0.9799270515025253,-0.6617941774216759,-0.43490485958543645,-0.29069246914279695,-0.5731294053191517,blues
blues3_0,1.928085486769887,0.5042411553803513,0.7614520350891746,-1.696627969239096,-1.2523114547210232,-1.6079892099687387,-1.3806505343382292,-1.6640474564785637,-1.342898878885325,0.05535851341257333,-0.12691180060972124,-0.7549357077934592,-0.43747257402451484,-1.5242493281053398,-0.9773286288069192,blues
blues3_1,-1.9188563197344461,0.5598702841316238,0.7275635268274058,-1.6973646051344737,-1.2565511244199934,-1.551249587061941,-1.3549508292265067,-1.675696362779671,-1.3520065228943887,0.06546934593272882,-0.04520601525839671,-0.7552494828569761,-0.43756226432528006,-1.633384385332589,-0.9952732012115254,blues
blues3_2,-1.9188563197344461,0.6603949161327212,0.4964761335909961,-1.5526911734703688,-1.1046167918338832,-1.2320344544343431,-0.8484290968360314,-1.4647452595814396,-1.0422493185636572,-0.018320134331432425,0.18100160417199132,-0.7415384273650554,-0.43723544980295487,-1.5629426665768185,-0.9741228364029855,blues
blues3_3,-0.8845619520048862,0.4143800186216218,0.4029787278861533,-1.3532431807484244,-1.055883382976204,-1.0067147901127163,-0.8196919788642661,-1.228590159113539,-0.9795743554306063,0.04056129234458704,0.17861182849691193,-0.7223538967156797,-0.4366937262814725,-1.403208628271482,-0.9235071737484839,blues
blues3_4,-1.8689885555760568,0.5541763252006686,0.36487630084565476,-1.3956068379140592,-1.0366250062147508,-0.9202361348710891,-0.8543382916726835,-1.2955184207708104,-0.9320876266210126,0.08352598481828474,0.15187256942738603,-0.726309772377173,-0.4357414332425079,-1.4521540478764294,-0.8627127246736433,blues
blues3_5,1.538641995247226,0.5816455799175673,0.5362126346221158,-1.5587867235509554,-1.2238620307390424,-1.2564860518362058,-1.187809035284746,-1.5920360357080834,-1.3178741334478825,0.18190159900054118,0.06360431704815565,-0.7486596815410684,-0.43739958354481967,-1.513005110087987,-0.9724312173336995,blues
blues3_6,1.1978789401648977,0.4557875161668703,0.4151223369397139,-1.4341275048445008,-1.1038680167694528,-1.0329090185726166,-0.973643243485192,-1.4412356486828417,-1.0951014135349832,0.04474115324804227,0.1029475880831043,-0.7259918689896109,-0.4354300937999076,-1.489193824874769,-0.9231828685915394,blues
blues3_7,1.928085486769887,0.4885935168111729,0.37429282099005623,-1.4939022799964874,-0.9770095107402821,-1.146557468563749,-0.8546612151069076,-1.46813403232358,-0.9336146597037637,-0.0704687583597709,0.1316744822570473,-0.7171420497427577,-0.42660405638469817,-1.519288643685919,-0.8756746506348273,blues
blues4_0,0.1755897749179129,-1.4440788033241183,0.02653510889435412,0.09875301107632092,0.582300951117337,-0.532517899217997,-0.34439566416369655,-0.11919068265537155,0.2937870049315579,1.3177007560514147,1.7981180200156675,-0.6005591928428191,-0.4228114327133135,0.7156650434102887,1.0497284301025744,blues
blues4_1,0.1755897749179129,-1.434688562491412,0.2500722341514954,-0.08382826945812968,-0.316817095259909,-0.42445321283385,-0.5979225515770855,-0.11855528776622057,-0.3127277981721581,1.0769903682954947,1.096800993088514,-0.6047472040547032,-0.4249323193938811,0.1521312933641318,-0.2251102039469986,blues
blues4_2,0.39080854654885744,-1.3992169227462339,-0.0021865377834138686,-0.3340435098026373,-0.3871182596750845,-0.922005797706988,-0.7769569572595985,-0.5012748093316863,-0.4972808113028187,1.3257942954956738,1.3110138252621746,-0.6816005665732179,-0.43356965189147545,0.24572287274386545,-0.10728286403936471,blues
blues4_3,0.39080854654885744,-1.455301163107509,0.2303804370771607,-0.5625040879806414,-0.7657606462757092,-1.1011463864696123,-1.1669786539032476,-0.7495024126934599,-0.9293833096294413,1.2197591816152429,1.0081812175663647,-0.7109631565165316,-0.43681238913670145,0.11509151636579364,-0.40235747999271104,blues
blues4_4,0.39080854654885744,-1.5254695351373162,0.2385908318892962,-0.3816669612031235,-0.39205832032461885,-0.6416438329686917,-0.6403896579283581,-0.4027886015132342,-0.39076041824495406,0.48670400129405456,0.7051365244234974,-0.6265682347885058,-0.4290541063823745,-0.19048664387050604,-0.36161581742767096,blues
blues4_5,0.39080854654885744,-1.6251318770623566,0.7500469282096983,-0.8877495499282082,-0.9314491529054524,-1.1614165217989385,-1.158720491576446,-1.0125558968020985,-1.0224338046687822,0.5142531143380932,0.2265596506320728,-0.7000102731815645,-0.43584770949680396,-0.6108219703427281,-0.7666653958579643,blues
blues4_6,0.39080854654885744,-1.371961986818787,0.08090624062196049,-0.5479360849600322,-0.5466573868057445,-0.8772894972599691,-0.7652237675967312,-0.633860542867926,-0.553545059622465,0.7176393085831985,0.8014880362335517,-0.6824096122251525,-0.4357441891947092,-0.3204565756593212,-0.5736491563559264,blues
blues4_7,0.39080854654885744,-1.4273226493157811,0.3859113902081917,-0.7605657789040521,-0.8833568637909645,-1.1516339822210238,-1.223189532447829,-0.942238862402689,-1.0435995269370215,0.7316853453927794,0.5726925527973754,-0.7054152744919835,-0.43641408559243033,-0.3495592575865857,-0.6490674198977485,blues
blues5_0,-0.3577784852109487,-1.2944825737112462,0.7040023306339535,-0.9137671958531179,-0.760111828610066,-1.236149150953913,-1.1870484559469163,-1.0479262122981878,-0.867040149814969,0.7286889401078974,0.5174810945706362,-0.7223061885105617,-0.4366388259131059,-0.6081762719857036,-0.5023050301679651,blues
blues5_1,1.928085486769887,-1.7256832192864633,-0.001721455990258158,0.8986131170681301,1.7695280662271697,-0.16713848730144132,0.1674264077257464,0.5297592974644871,1.0763239245399019,2.4218716223862367,3.1342146736354994,-0.5714467176009244,-0.42110671297322544,1.4792797317064035,2.4601279163983354,blues
blues5_2,-0.3577784852109487,-1.5033629710010048,0.20517346512936716,0.2616097226864304,0.5272430557220139,-0.6803789446570108,-0.8071384356411818,-0.11368392694939272,-0.1734768390821424,1.6467353091967267,1.2971455715802285,-0.6282730424353867,-0.42660077357901816,0.8985489423395889,1.5392860653151774,blues
blues5_3,-0.3577784852109487,-1.2341132181379346,0.8668011608945566,0.012451767775700496,0.9167424297065847,-0.345735282889843,-0.08672383478341261,-0.10288221383382297,0.42283349475510223,1.0464204951263822,1.4941086621951005,-0.5889859408993958,-0.4015497218591596,0.05953185086828118,1.0999718193490875,blues
blues5_4,-1.7032119341846537,-1.2600772601473427,0.6665258862322685,-1.3104958480698836,-1.1484111059448259,-1.5358165839443245,-1.3992010013067824,-1.402264762148228,-1.2599038219951608,0.5908914973756602,0.37969631133455134,-0.7478430781939479,-0.4373805652365979,-1.0622442525099858,-0.9087432949622106,blues
blues5_5,-0.19615173971735408,-1.0388793835462427,0.20805410786000553,-0.7466062357465715,-0.7536006729203597,-0.9469911934331325,-1.0108628236947803,-0.807746944198996,-0.8036713868624596,0.7082712678984222,0.6731448671139284,-0.7088976852027672,-0.43631634749116394,-0.6465388981625542,-0.6636435684584006,blues
blues5_6,-0.5059363352467436,-1.1009582304265466,-0.19906333344121585,0.2578308074375562,0.879405943300416,-0.28217230229663676,0.0935556397440927,0.19723597214197586,0.8013847268106687,1.437119898549558,2.04078935240425,-0.5857214778779373,-0.41972892583909127,0.4811900265190175,0.9353679307217754,blues
blues5_7,-0.6422415572796749,-1.6663751785793202,0.4772217834867167,-0.8526434069974519,-0.8385969124514315,-1.167419132678342,-1.1211346777200435,-0.9519815840363399,-0.9270992966375079,1.324428220569025,0.8187834699551071,-0.7138050481283775,-0.4354535683601285,-0.5688215089249693,-0.6678296288159163,blues
blues6_0,0.39080854654885744,-1.5058904796078225,1.4551276392681805,-1.5476185078527518,-1.1227753238765108,-1.7852140830432215,-1.3908012651281205,-1.4556379328369375,-1.1496770924283957,0.25102153345091716,0.10568094308780618,-0.7621286116706851,-0.43756247778271984,-1.371790960281818,-0.9132772211009356,blues
blues6_1,-1.7032119341846537,-1.290292639465215,1.611467291117974,-1.7609325658190673,-1.2938808371399169,-2.210517295027856,-1.680513853827661,-1.7369060704345793,-1.4119466295592302,0.4057346917300084,-0.1697837411224328,-0.7724371849195151,-0.43771066990275903,-1.4422326790375888,-0.9755018055947012,blues
blues6_2,-0.19615173971735408,-0.881559019046397,1.0817174040656898,-1.6320713908495217,-1.2128185750511613,-2.1899935864408064,-1.7088515197650447,-1.627406351204172,-1.334806069483791,0.3163203809221862,-0.08263255590589745,-0.7714219147629406,-0.4378257726156963,-1.2781993809020864,-0.8884000016973612,blues
blues6_3,-1.7032119341846537,-1.3074257616675296,0.6712582288228869,-0.7365075117451435,-0.48460422892798993,-1.0000164247196748,-0.717776980569526,-0.7632693019584047,-0.5080366516844486,1.180734480773987,1.4248820025781554,-0.6962197015987714,-0.42823248638014255,-0.6154519424675202,-0.3782529761524175,blues
blues6_4,-1.6418131855211713,-1.214396871719717,0.668381037636541,-0.8705623190834296,-0.6397399016314714,-1.7397427844581788,-1.476893309858364,-1.0485616071873387,-1.0099936218789454,1.2150529026952321,0.8650597768675926,-0.7331792658316323,-0.43307621332322793,-0.1521240176936539,-0.1092781582581036,blues
blues6_5,-1.6418131855211713,-1.4424347209845634,0.5422535380798923,-0.5139970557303618,0.039995570174424816,-0.9638017381191725,-0.5362679345923013,-0.5959486478152289,-0.18916137162285432,1.6322294666632415,2.1924450513727987,-0.7043400046589033,-0.4283193977041227,-0.3813076378708797,0.06418811466573572,blues
blues6_6,-1.5081806149006505,-0.9874846575325849,0.7005230669335878,-1.1086015636106852,-1.032801190337537,-1.89667189693242,-1.5920669133280134,-1.2434160398604042,-1.2595103843326174,0.6065390474610097,0.3221573904866181,-0.7627637554436228,-0.43772373998515146,-0.42363881158326416,-0.5885802160650976,blues
blues6_7,1.1978789401648977,-1.1797204950563855,0.22771237448560475,-0.6363746004226971,-0.7327022294026755,-1.2207994159080255,-1.1738167564187707,-0.7255692052020947,-0.8972230161422156,1.592994194883844,1.3502629089522449,-0.7273767247581056,-0.4331610098947292,-0.2658890470456957,-0.46531113089531845,blues
blues7_0,-1.0934588440093786,-0.6867100997944828,0.49022209821509416,-1.293121315845281,-0.9814966791531129,-1.3616772227046807,-1.0549129725034023,-1.2213890170364916,-1.0346057957573296,0.44954932950003607,0.46735561223218347,-0.7426411018290991,-0.4363583340473813,-1.265963026000849,-0.8903075503517283,blues
blues7_1,-0.9927406996500697,-0.8250475540016164,0.8084961981993272,-1.3902293144727882,-1.084478944055706,-1.778221260497045,-1.4986014615867738,-1.3505859778305898,-1.2046656201637909,0.7184135118015196,0.30339088722710683,-0.7558120253072289,-0.43733490308040085,-1.1270638622570788,-0.8092716568341837,blues
blues7_2,-0.9927406996500697,-0.9621499108306575,0.34611628879838113,-0.6135403113172317,-0.17390223839270605,-0.8225771839263888,-0.49741816818674145,-0.5504120140927191,-0.21709745194355123,1.0609645356132056,1.3048770809646357,-0.6730149688064361,-0.4276421359242943,-0.6753108677951978,-0.21287868675747662,blues
blues7_3,-0.9927406996500697,-0.632987564074442,0.3976960050804509,-1.12195901051166,-0.8786572427023784,-1.2141789103885106,-1.1168625068169848,-1.1237500024035765,-0.9883777158670786,1.1686476734106033,1.050427743574173,-0.7457189955811657,-0.4374180944788251,-1.0758034565897339,-0.7813941084356538,blues
blues7_4,-0.9927406996500697,-0.5612685849841226,0.372210311264518,-1.3222176263103536,-1.1233130684600603,-1.4120026012548634,-1.1770429043113853,-1.2446868296387064,-1.1871589837169598,0.7798794711752376,0.6609963302785944,-0.7606861575504935,-0.43772189828975294,-1.2424824530822596,-0.9270808101407797,blues
blues7_5,-0.8845619520048862,-0.8535084515772596,0.47053226064386144,-1.635856179836446,-1.2715925643441885,-1.986255099824844,-1.6292518384959898,-1.5032925495232843,-1.344732082769217,0.42990891543066356,0.05437873338453157,-0.7733105609775972,-0.4378374109668253,-1.3737752340495868,-0.974985964962399,blues
blues7_6,-0.8845619520048862,-0.7663786807652333,0.5724737670001115,-0.530287119756975,-0.3565928542813552,-1.2567208547486626,-1.1531900935317176,-0.7406068842453419,-0.7322497402251296,1.1982502990254864,0.6437036667544743,-0.689913818591502,-0.4319712565252211,-0.13095843083745967,-0.018332998058503965,blues
blues7_7,-0.8845619520048862,-0.9647856830939622,0.36800966830874426,-0.1557354872187593,-0.0956947650157991,-0.47592382360968144,-0.6240721238607062,-0.21704149558467006,-0.34010510212272244,1.523813241042888,1.7809418890249313,-0.6714085693277976,-0.4345407820877865,-0.11144640545440604,0.06366150988578242,blues
blues8_0,1.1978789401648977,0.7206655973370693,-0.2487760340971751,-0.5545962974005635,-0.6359596851313621,-0.352980890905244,-0.4260319386431814,-0.4152847009998768,-0.5608349166507403,0.9362749070850571,0.9012962538265957,-0.6703555947130768,-0.4335904357390675,-0.7126813570881605,-0.6145574374946244,blues
blues8_1,-1.2754012983358718,0.7101474078637785,-0.24545896069890272,-0.6665905906247437,-0.8371064977830984,-0.40764291098638517,-0.5374520885865204,-0.5008512127389176,-0.7298216877584328,0.8629606249489717,0.8279339081846284,-0.6750879048891518,-0.43440770905656495,-0.8175171544852463,-0.7989606921034098,blues
blues8_2,-1.2754012983358718,0.7208568212877139,-0.295703100664469,-0.6438166131240777,-0.7997655620149359,-0.3435976234707462,-0.4982027445941579,-0.4347701442671844,-0.6522126050488745,0.8242343581593291,0.8891628355289074,-0.6810802486700039,-0.4346273028484535,-0.8624940265546571,-0.7742781510892395,blues
blues8_3,-1.2754012983358718,0.6785580256704469,-0.27535500225042353,-0.5927693694554835,-0.7277615551691272,-0.35389432668063847,-0.418340176027015,-0.4019414083276993,-0.5704049524131186,0.7205779815330469,0.8895346437042604,-0.6726707631940313,-0.4342734040643596,-0.7659260365232738,-0.7422186085813581,blues
blues8_4,-1.2754012983358718,0.6915834893589387,-0.27454940370413317,-0.6693080353324097,-0.7985151184203536,-0.30755992258115006,-0.44774611237529083,-0.41295491973965615,-0.6481192753340143,0.7588601869514447,0.7314498667200382,-0.6842996053298094,-0.43369814415655517,-0.9666683993624852,-0.8054188650312575,blues
blues8_5,1.538641995247226,0.6964248535726039,-0.2415945223514255,-0.708113990559375,-0.8257618242556451,-0.3447323762953054,-0.4199736946674761,-0.45510278072002425,-0.6397606690098432,0.667140334035073,0.774438269333924,-0.6856549711921331,-0.4338570458143931,-0.9054866248563014,-0.8140457029179882,blues
blues8_6,-1.2754012983358718,0.657019734232641,-0.25640274026543525,-0.5906910411799018,-0.730770748476669,-0.2775505395952802,-0.395975585129527,-0.3813969735784742,-0.5563232776686337,0.5987785079917931,0.7538385738407125,-0.6623455370026491,-0.43282027620670144,-0.8992030912583685,-0.7759894026868774,blues
blues8_7,-1.1874624454114002,0.6754594740667496,-0.15803799495973617,-0.6812124414342663,-0.7879636200142552,-0.2870877571172003,-0.3933729044997794,-0.4957680536257092,-0.6344134773209624,0.5095018787640474,0.6279327095410884,-0.6699122665025445,-0.43281775717837795,-1.0136295451996653,-0.7608244339205766,blues
blues9_0,-0.3577784852109487,-1.1205893971220615,0.9663659225709395,-0.4087457172774683,-0.5674106093532074,-0.11876854408093161,-0.33476579932817047,-0.163244728303195,-0.4424987574786741,0.40634265471894654,0.32805187316329165,-0.6303217823269419,-0.4293240401423974,-0.5350888548729102,-0.4832777971249507,blues
blues9_1,-1.2754012983358718,-0.8811808378576136,0.3000791525013301,-0.6303132202439726,-0.5713016699275825,-0.7623644846291397,-0.5570316654574365,-0.5368569231241578,-0.38245808468252723,0.8935495383215949,0.9442350428812798,-0.7007908513523807,-0.4342400806260358,-0.36708700920187237,-0.425239321292294,blues
blues9_2,-1.3578439729525642,-1.1621637817275736,0.3507116852861117,-0.9740907405803593,-0.9851989751316405,-1.1778489069309992,-1.1639009168208916,-0.9693490443398096,-1.0586666903524824,0.7532094257533857,0.5415513486056076,-0.7340778887071071,-0.4371295354254391,-0.7507132709703844,-0.7645727263659139,blues
blues9_3,0.39080854654885744,-1.122449691356104,0.18841089059432245,-0.39350214932508526,-0.7006754005187515,-0.47094747502340456,-0.7595848899193683,-0.25262360937714384,-0.6428301683002559,1.4044534416108065,1.2455582071083273,-0.6998628103539347,-0.4364164698596645,-0.4583636025192075,-0.67780446852035,blues
blues9_4,-0.01913197084341754,-1.328167092307781,1.4061583726163085,-0.2404353025642609,-0.4732582290769603,0.10359850303423428,-0.06938313915618138,0.06676822156957497,-0.2270106387285245,0.06415867547843356,0.006223126569101599,-0.5891191233430868,-0.42955427887881353,-0.5202068016146478,-0.42449928897387956,blues
blues9_5,0.8972056562687253,-0.9748628228679561,0.321236044832187,-0.2415077891821344,-0.13967968785943372,-0.23493586025009844,-0.37107277994061527,-0.1458772679997248,-0.1753482904130684,0.7585814347990825,1.1584028394147305,-0.6517061086380986,-0.4337923725049009,-0.24075491265396481,0.04539866252096162,blues
blues9_6,-0.6422415572796749,-1.1705111685447736,0.9479816167243456,-1.041908858235525,-1.0422070528043903,-0.6401830409272837,-0.774630918907826,-1.018062652508076,-1.0914347060761858,-0.5231786216807673,-0.38943305832704084,-0.6782092112973241,-0.4360870380925496,-1.046700774662468,-0.9038769939847616,blues
blues9_7,0.39080854654885744,-1.2191020235515226,0.8568960169384351,-0.6514129196423993,-0.8800143469619796,-0.6311393196267516,-0.7889916356505456,-0.5751924147696202,-0.9105747057143412,0.5246330319298683,0.2398422783700292,-0.6932225350130768,-0.4362002257609939,-0.6647280743670969,-0.7719998260407162,blues
blues10_0,1.1978789401648977,-1.3661754855925965,0.5921980656263889,-0.9989237358622922,-0.8607165287574894,-1.5189886047157157,-1.1977456288554014,-1.230919940373762,-1.0682474503790813,1.217732307792173,1.092053818551469,-0.7392827587307784,-0.4367546124106948,-0.5357502794621685,-0.6831911792922204,blues
blues10_1,1.1978789401648977,-1.0296408923627032,1.8433355667442748,-1.259182428317433,-1.0240634039446987,-1.2845244585462456,-0.9903490330986671,-1.2637486763132457,-1.026536024896288,-0.31923818512911684,-0.19785668032811876,-0.7182611938969272,-0.4359250354877173,-1.1164810688289812,-0.9020659441817195,blues
blues10_2,1.1978789401648977,-0.1134976886024755,1.3876777931377422,-1.6816591659499784,-1.2125637409191008,-1.6854496365257872,-1.3893940753602465,-1.6799323287073473,-1.258948416803075,-0.2548489833219732,-0.1897239975311138,-0.7549907455434012,-0.437197494503494,-1.4901859617586541,-0.983123732942852,blues
blues10_3,-0.3577784852109487,-0.4395120856282059,0.5237046850570534,-1.3572220838359392,-1.1652641116737763,-1.6752875456788257,-1.4256924149268206,-1.4749115778078603,-1.3051171301030173,0.7183813796172264,0.38634325162210337,-0.7575202652869809,-0.43766412212213,-1.0361179812343706,-0.9010926995308431,blues
blues10_4,-0.01913197084341754,-0.8786836669666718,-0.2413638806466865,-1.1803967527469785,-1.1017165492377758,-1.650013445774881,-1.4593855513889744,-1.3698596228015114,-1.2899863477842008,1.1736986056741272,0.8503500625688117,-0.758432321842289,-0.4377222522163575,-0.8049500872893802,-0.8585148178101822,blues
blues10_5,1.1978789401648977,-1.0157287460050923,0.21075183751385548,-0.7414883946775473,-0.7824833537468721,-0.9918938430212688,-1.0227772511574462,-0.763481100254788,-0.8026664717525487,2.253172897210756,1.9024585049203482,-0.7493049892183024,-0.43747728916418327,-0.6961457423567605,-0.7506217233069521,blues
blues10_6,1.1978789401648977,-0.841387643192058,0.7057635613358331,-0.7152088488175365,-0.7636972098934041,-0.5539496985428708,-0.7081463641269924,-0.40850715551559685,-0.5497724692663236,0.6355969437590059,0.6124097154465364,-0.7055464187797006,-0.4343728390529928,-1.0328108582880902,-0.8139802871307634,blues
blues10_7,1.1978789401648977,-0.9280628126105983,0.40222305800403946,-1.0347043638001963,-0.9601411344470875,-1.3934836475723973,-0.9767748031264822,-1.0250519962887406,-0.8726671260234105,0.9678152693485088,0.6574353359724867,-0.746998020832279,-0.4371628251404511,-0.779815952897652,-0.8287186884551182,blues
blues11_0,1.538641995247226,-0.7220413743832768,1.4824644602705659,-1.4887104090293848,-1.0130440062831643,-1.228146053933906,-1.0120273609136634,-1.4833835096632113,-0.9733355384338105,0.035818300211021906,-0.14877236319163326,-0.7134040812503166,-0.4293252442392166,-1.5063908641954264,-0.8506119201879992,blues
